ID	|	Name (EN)	|	Description	|
1	|	Chip	|	A mysterious chip	|
2	|	Stamina bar	|	Instantly restores 6 hours of Stamina to a Ling, allowing it to resume training or participate in missions.	|
3	|	Stamina bar XL	|	Instantly restores 24 hours of Stamina to a Ling, allowing it to continue training or participating in missions without delay.	|
6	|	Lings Memory Fragment	|	Used to perform Kuchiyose and exceed the maximum potential of your Lings.	|
7	|	Lupicall	|	Instant return to Cinos Campus.	|
101	|	Jojo Training Story	|	Collect 60 of Jojo’s Training Stories to exchange for the Jojo Trainer License.	|
105	|	QingYue Training Story	|	Collect 60 of Qing Yue’s Training Stories to exchange for the Qing Yue Trainer License.	|
106	|	Lena Training Story	|	Collect 60 of Lena’s Training Stories to exchange for the Lena Trainer License.	|
201	|	Jojo Trainer License	|	Consuming a Jojo Trainer License increases the Jojo (Trainer) GENE strength by 1. Can be infused back to NFT.	|
202	|	Michael Trainer License	|	Consuming a Michael Trainer License increases the Michael (Trainer) GENE strength by 1. Can be infused back to NFT.	|
203	|	Klue Trainer License	|	Consuming a Klue Trainer License increases the Klue (Trainer) GENE strength by 1. Can be infused back to NFT.	|
204	|	Emo Trainer License	|	Consuming a Emo Trainer License increases the Emo (Trainer) GENE strength by 1. Can be infused back to NFT.	|
210	|	Andre Trainer License	|	Consuming a Andre Trainer License increases the Andre (Trainer) GENE strength by 1. Can be infused back to NFT.	|
209	|	Yuka  Trainer License	|	Consuming a Yuka Trainer License increases the Yuka (Trainer) GENE strength by 1. Can be infused back to NFT.	|
206	|	Lena Trainer License	|	Consuming a Lena Trainer License increases the Lena (Trainer) GENE strength by 1. Can be infused back to NFT.	|
205	|	QingYue Trainer License	|	Consuming a Qing Yue Trainer License increases the Qing Yue (Trainer) GENE strength by 1. Can be infused back to NFT.	|
207	|	T Trainer License	|	Consuming a T Trainer License increases the T (Trainer) GENE strength by 1. Can be infused back to NFT.	|
214	|	Awakened Qing Yue Trainer License	|	Consuming a Awakened Qing Yue Trainer License increases the Awakened Qing Yue (Trainer) GENE strength by 1. Can be infused back to NFT.	|
1001	|	Scholar (Body) A	|	Jojo's Outfit	|
1002	|	Scholar (Body) B	|	Jojo's Outfit	|
1003	|	Scholar (Body) C	|	Jojo's Outfit	|
1004	|	Scholar (Body) D	|	Jojo's Outfit	|
1005	|	Scholar (Body) E	|	Jojo's Outfit	|
1006	|	Scholar (Body) F	|	Jojo's Outfit	|
1007	|	Scholar (Body) G	|	Jojo's Outfit	|
1008	|	Scholar (Body) H	|	Jojo's Outfit	|
1009	|	Scholar (Leggings) A	|	Jojo's Outfit	|
1010	|	Scholar (Leggings) B	|	Jojo's Outfit	|
1011	|	Scholar (Leggings) C	|	Jojo's Outfit	|
1012	|	Scholar (Leggings) D	|	Jojo's Outfit	|
1013	|	Scholar (Leggings) E	|	Jojo's Outfit	|
1014	|	Scholar (Leggings) F	|	Jojo's Outfit	|
1015	|	Scholar (Leggings) G	|	Jojo's Outfit	|
1016	|	Scholar (Leggings) H	|	Jojo's Outfit	|
1017	|	Scholar (Boots) A	|	Jojo's Outfit	|
1018	|	Scholar (Boots) B	|	Jojo's Outfit	|
1019	|	Scholar (Boots) C	|	Jojo's Outfit	|
1020	|	Scholar (Boots) D	|	Jojo's Outfit	|
1021	|	Scholar (Boots) E	|	Jojo's Outfit	|
1022	|	Scholar (Boots) F	|	Jojo's Outfit	|
1023	|	Scholar (Boots) G	|	Jojo's Outfit	|
1024	|	Scholar (Boots) H	|	Jojo's Outfit	|
1025	|	Celestial Harmony (Body) A	|	Jojo's Outfit	|
1026	|	Celestial Harmony (Body) B	|	Jojo's Outfit	|
1027	|	Celestial Harmony (Body) C	|	Jojo's Outfit	|
1028	|	Celestial Harmony (Body) D	|	Jojo's Outfit	|
1029	|	Celestial Harmony (Body) E	|	Jojo's Outfit	|
1030	|	Celestial Harmony (Body) F	|	Jojo's Outfit	|
1031	|	Celestial Harmony (Body) G	|	Jojo's Outfit	|
1032	|	Celestial Harmony (Body) H	|	Jojo's Outfit	|
1033	|	Celestial Harmony (Leggings) A	|	Jojo's Outfit	|
1034	|	Celestial Harmony (Leggings) B	|	Jojo's Outfit	|
1035	|	Celestial Harmony (Leggings) C	|	Jojo's Outfit	|
1036	|	Celestial Harmony (Leggings) D	|	Jojo's Outfit	|
1037	|	Celestial Harmony (Leggings) E	|	Jojo's Outfit	|
1038	|	Celestial Harmony (Leggings) F	|	Jojo's Outfit	|
1039	|	Celestial Harmony (Leggings) G	|	Jojo's Outfit	|
1040	|	Celestial Harmony (Leggings) H	|	Jojo's Outfit	|
1041	|	Celestial Harmony (Boots) A	|	Jojo's Outfit	|
1042	|	Celestial Harmony (Boots) B	|	Jojo's Outfit	|
1043	|	Celestial Harmony (Boots) C	|	Jojo's Outfit	|
1044	|	Celestial Harmony (Boots) D	|	Jojo's Outfit	|
1045	|	Celestial Harmony (Boots) E	|	Jojo's Outfit	|
1046	|	Celestial Harmony (Boots) F	|	Jojo's Outfit	|
1047	|	Celestial Harmony (Boots) G	|	Jojo's Outfit	|
1048	|	Celestial Harmony (Boots) H	|	Jojo's Outfit	|
1049	|	Love Embrace (Body) A	|	Jojo's Outfit	|
1050	|	Love Embrace (Body) B	|	Jojo's Outfit	|
1051	|	Love Embrace (Body) C	|	Jojo's Outfit	|
1052	|	Love Embrace (Body) D	|	Jojo's Outfit	|
1053	|	Love Embrace (Body) E	|	Jojo's Outfit	|
1054	|	Love Embrace (Body) F	|	Jojo's Outfit	|
1055	|	Love Embrace (Body) G	|	Jojo's Outfit	|
1056	|	Love Embrace (Body) H	|	Jojo's Outfit	|
1057	|	Love Embrace (Leggings) A	|	Jojo's Outfit	|
1058	|	Love Embrace (Leggings) B	|	Jojo's Outfit	|
1059	|	Love Embrace (Leggings) C	|	Jojo's Outfit	|
